16, 262144, 169.38
16, 524288, 344.50
16, 1048576, 580.31
18, 2, 1.49
18, 4, 1.49
18, 8, 1.43
18, 16, 1.44
18, 32, 2.02
18, 64, 1.83
18, 128, 2.46
18, 256, 2.48
18, 512, 2.78
18, 1024, 3.28
18, 2048, 4.59
18, 4096, 6.60
18, 8192, 9.80
18, 16384, 19.45
18, 32768, 29.45
18, 65536, 51.47
18, 131072, 90.59
18, 262144, 176.37
18, 524288, 322.27
18, 1048576, 623.79
20, 2, 1.46
20, 4, 1.40
20, 8, 1.38
20, 16, 1.44
20, 32, 2.17
20, 64, 1.71
20, 128, 2.50
20, 256, 2.56
20, 512, 2.79
20, 1024, 3.39
20, 2048, 4.64
20, 4096, 6.78
20, 8192, 9.99
20, 16384, 20.02
20, 32768, 30.39
20, 65536, 53.12
20, 131072, 94.87
20, 262144, 178.24
20, 524288, 368.34
20, 1048576, 623.80
22, 2, 1.42
22, 4, 1.39
22, 8, 1.43
22, 16, 1.73
22, 32, 1.74
22, 64, 1.72
22, 128, 2.49
22, 256, 2.59
22, 512, 2.85
22, 1024, 3.44
22, 2048, 4.81
22, 4096, 6.73
22, 8192, 10.39
22, 16384, 20.85
22, 32768, 31.96
22, 65536, 53.12
22, 131072, 98.17
22, 262144, 189.36
22, 524288, 359.27
22, 1048576, 685.36
24, 2, 1.41
24, 4, 1.56
24, 8, 1.42
24, 16, 1.77
24, 32, 1.76
24, 64, 1.78
24, 128, 2.48
24, 256, 2.59
24, 512, 2.82
24, 1024, 3.51
24, 2048, 4.85
24, 4096, 6.84
24, 8192, 10.44
24, 16384, 22.31
24, 32768, 34.03
24, 65536, 58.24
24, 131072, 105.76
24, 262144, 194.96
24, 524288, 368.67
24, 1048576, 712.97
26, 2, 1.52
26, 4, 1.51
26, 8, 1.56
26, 16, 1.49
26, 32, 1.73
26, 64, 1.78
26, 128, 2.43
26, 256, 2.59
26, 512, 2.81
26, 1024, 3.41
26, 2048, 4.89
26, 4096, 7.08
26, 8192, 10.96
26, 16384, 22.22
26, 32768, 32.05
26, 65536, 57.07
26, 131072, 104.21
26, 262144, 197.44
26, 524288, 393.62
26, 1048576, 761.43
28, 2, 1.52
28, 4, 1.77
28, 8, 1.53
28, 16, 1.51
28, 32, 1.70
28, 64, 1.79
28, 128, 2.36
28, 256, 2.54
28, 512, 2.73
28, 1024, 3.39
28, 2048, 4.92
28, 4096, 7.19
28, 8192, 11.30
28, 16384, 22.85
28, 32768, 33.61
28, 65536, 59.00
28, 131072, 108.91
28, 262144, 202.99
28, 524288, 434.00
28, 1048576, 834.99
30, 2, 1.58
30, 4, 1.62
30, 8, 1.66
30, 16, 1.59
30, 32, 1.71
30, 64, 1.85
30, 128, 2.37
30, 256, 2.42
30, 512, 2.70
30, 1024, 3.40
30, 2048, 4.92
30, 4096, 7.55
30, 8192, 11.52
30, 16384, 23.41
30, 32768, 35.25
30, 65536, 63.52
30, 131072, 123.78
30, 262144, 234.11
30, 524288, 472.28
30, 1048576, 907.53
32, 2, 1.94
32, 4, 2.36
32, 8, 2.12
32, 16, 1.95
32, 32, 2.69
32, 64, 2.52
32, 128, 3.22
32, 256, 3.43
32, 512, 3.71
32, 1024, 4.28
32, 2048, 6.02
32, 4096, 8.66
32, 8192, 13.00
32, 16384, 25.41
32, 32768, 38.79
32, 65536, 69.47
32, 131072, 137.01
32, 262144, 267.07
32, 524288, 506.09
32, 1048576, 1017.93
34, 2, 3.95
34, 4, 3.91
34, 8, 3.95
34, 16, 3.89
34, 32, 4.20
34, 64, 4.09
34, 128, 5.05
34, 256, 5.24
34, 512, 5.46
34, 1024, 6.18
34, 2048, 8.18
34, 4096, 10.58
34, 8192, 15.55
34, 16384, 27.51
34, 32768, 42.68
34, 65536, 73.88
34, 131072, 158.78
34, 262144, 297.40
34, 524288, 574.83
34, 1048576, 1115.44
36, 2, 4.23
36, 4, 3.52
36, 8, 3.57
36, 16, 3.52
36, 32, 3.93
36, 64, 3.92
36, 128, 4.82
36, 256, 5.00
36, 512, 5.23
36, 1024, 6.23
36, 2048, 8.06
36, 4096, 10.73
36, 8192, 15.93
36, 16384, 28.68
36, 32768, 44.52
36, 65536, 79.46
36, 131072, 172.85
36, 262144, 331.56
36, 524288, 646.61
36, 1048576, 1306.07
38, 2, 4.27
38, 4, 3.44
38, 8, 3.48
38, 16, 3.43
38, 32, 3.85
38, 64, 3.84
38, 128, 4.81
38, 256, 4.98
38, 512, 5.29
38, 1024, 6.21
38, 2048, 8.32
38, 4096, 11.27
38, 8192, 16.44
38, 16384, 29.46
38, 32768, 47.13
38, 65536, 85.08
38, 131072, 192.81
38, 262144, 369.90
38, 524288, 737.55
38, 1048576, 1453.00
40, 2, 4.24
40, 4, 3.29
40, 8, 3.31
40, 16, 3.31
40, 32, 3.66
40, 64, 3.80
40, 128, 4.73
40, 256, 4.86
40, 512, 5.25
40, 1024, 6.34
40, 2048, 8.38
40, 4096, 11.50
40, 8192, 17.32
40, 16384, 30.85
40, 32768, 48.94
40, 65536, 91.82
40, 131072, 215.22
40, 262144, 428.14
40, 524288, 845.52
40, 1048576, 1684.65
42, 2, 3.59
42, 4, 3.28
42, 8, 3.30
42, 16, 3.29
42, 32, 3.62
42, 64, 3.85
42, 128, 4.73
42, 256, 4.89
42, 512, 5.18
42, 1024, 6.27
42, 2048, 8.22
42, 4096, 11.46
42, 8192, 17.62
42, 16384, 31.22
42, 32768, 50.44
42, 65536, 95.01
42, 131072, 215.92
42, 262144, 441.76
42, 524288, 832.35
42, 1048576, 1667.81
44, 2, 3.90
44, 4, 3.16
44, 8, 3.12
44, 16, 3.13
44, 32, 3.47
44, 64, 3.64
44, 128, 4.55
44, 256, 4.78
44, 512, 5.11
44, 1024, 6.20
44, 2048, 8.14
44, 4096, 11.67
44, 8192, 17.86
44, 16384, 32.06
44, 32768, 52.19
44, 65536, 94.14
44, 131072, 217.88
44, 262144, 424.68
44, 524288, 872.54
44, 1048576, 1685.95
46, 2, 4.08
46, 4, 3.08
46, 8, 3.11
46, 16, 3.12
46, 32, 3.49
46, 64, 3.61
46, 128, 4.57
46, 256, 4.80
46, 512, 5.12
46, 1024, 6.24
46, 2048, 8.17
46, 4096, 11.63
46, 8192, 18.17
46, 16384, 32.27
46, 32768, 52.39
46, 65536, 95.17
46, 131072, 219.40
46, 262144, 422.69
46, 524288, 890.15
46, 1048576, 1674.14
48, 2, 3.56
48, 4, 3.05
48, 8, 3.06
48, 16, 3.01
48, 32, 3.37
48, 64, 3.58
48, 128, 4.51
48, 256, 4.76
48, 512, 5.04
48, 1024, 6.32
48, 2048, 8.30
48, 4096, 11.99
48, 8192, 18.61
48, 16384, 33.23
48, 32768, 54.81
48, 65536, 101.52
48, 131072, 238.65
